RegionName,ZoneName,WoredaName,EthiopianMonth,EthMonNum,EthYear,DeliveredPrivateClinics,DeliveredPublicClinics,DeliveredOther,DeliveredTotal
Oromia,Ilu Aba Bora,Didu,Tir,5,2009,30,19,72,121
Oromia,Bale,Legehida,Nehase,12,2010,46,4,7,57
Oromia,East Wellega,Gobu Seyo,Hamle,11,2010,83,14,34,131
Oromia,Arsi,Zeway Dugda,Yekatit,6,2010,31,55,61,147
Oromia,East Hararge,Garemuleta Hospital,Megabit,7,2010,42,12,31,85
Oromia,Guji,Shakiso Town,Hamle,11,2009,17,58,16,91
Oromia,West Hararge,Chiro Hospital,Tir,5,2011,92,13,30,135
Oromia,West Hararge,West Harerge	Gumbi Bordede,Sene,10,2009,3,82,86,171
Oromia,East Hararge,Deder Town,Meskerem,1,2010,4,57,80,141
Oromia,Arsi,Ludehetosa,Tahesas,4,2010,9,14,73,96
Oromia,Bale,Goba Town,Sene,10,2009,62,84,90,236
Oromia,Arsi,Bale Gesgara,Ginbot,9,2009,38,57,91,186
Oromia,Ilu Aba Bora,Halu,Yekatit,6,2009,2,90,16,108
Oromia,Arsi,Zeway Dugda,Tir,5,2010,9,3,57,69
Oromia,Jimma,B/Tolyi,Tir,5,2010,9,81,53,143
Oromia,Jimma Spe Town,Jimma Spe Town,Ginbot,9,2010,1,41,98,140
Oromia,North Shewa,Aleiltu,Tahesas,4,2010,28,14,41,83
Oromia,Qeleme Wellega,Gawo Qebe,Yekatit,6,2010,47,61,44,152
Oromia,Horo Gudru Wellega,Gudru,Nehase,12,2010,48,90,32,170
Oromia,Bale,Agarfa,Sene,10,2009,0,73,15,88
Oromia,West Hararge,Burka Dimtu,Teqemt,2,2011,90,52,26,168
Oromia,North Shewa,Girar Jarso,Yekatit,6,2011,43,43,67,153
Oromia,South West Shewa,Wonchi,Hamle,11,2009,24,79,54,157
Oromia,East Hararge,Bedeno,Tahesas,4,2011,55,18,87,160
Oromia,Finfine Zuria,Walmera,Tahesas,4,2010,86,46,84,216
Oromia,East Wellega,Gobu Seyo,Sene,10,2011,15,75,9,99
Oromia,Buno Bedele,Boricha,Sene,10,2010,72,18,77,167
Oromia,South West Shewa,Dawo,Miyazia,8,2009,87,29,16,132
Oromia,West Guji,Kercha Hospital,Hamle,11,2009,85,77,6,168
Oromia,West Shewa,Dano,Meskerem,1,2011,83,99,37,219
Oromia,North Shewa,Jido,Nehase,12,2009,8,99,14,121
Oromia,Jimma,Limu Seka,Sene,10,2009,67,35,81,183
Oromia,West Hararge,Doba,Miyazia,8,2010,8,0,10,18
Oromia,Jimma,Seka Chhokorsa Hospital,Hamle,11,2010,39,8,76,123
Oromia,North Shewa,Kuyu,Miyazia,8,2009,18,99,52,169
Oromia,North Shewa,Kuyu Hospital,Hedar,3,2011,4,18,3,25
Oromia,Qeleme Wellega,Anfilo,Teqemt,2,2011,91,80,13,184
Oromia,North Shewa,Fiche Hospital,Megabit,7,2010,74,5,21,100
Oromia,West Wellega,Seyo Nole,Hedar,3,2011,31,8,0,39
Oromia,Jimma,Nono Benja,Tahesas,4,2010,96,62,17,175
Oromia,Arsi,Sude,Ginbot,9,2009,23,51,21,95
Oromia,East Hararge,Bisidimo Hospital,Yekatit,6,2009,91,44,89,224
Oromia,Ilu Aba Bora,Darimu,Ginbot,9,2010,56,68,24,148
Oromia,East Wellega,Boneya Bushe,Tir,5,2011,81,43,47,171
Oromia,East Hararge,Midega Tole,Miyazia,8,2009,98,61,88,247
Oromia,Jimma,Nono Benja,Yekatit,6,2009,58,67,23,148
Oromia,West Wellega,Guliso,Megabit,7,2011,7,83,76,166
Oromia,Guji,Wadara,Ginbot,9,2011,78,23,47,148
Oromia,West Wellega,Lata Sibu,Ginbot,9,2010,85,98,43,226
Oromia,Buno Bedele,Dapho Hana,Ginbot,9,2009,80,89,64,233
Oromia,West Wellega,Nole Kaba,Hedar,3,2010,52,34,67,153
Oromia,East Wellega,Nunu Qumba,Megabit,7,2010,84,10,90,184
Oromia,Arsi,Merti,Ginbot,9,2009,62,77,98,237
Oromia,Buno Bedele,Bedele Zuriya,Tahesas,4,2010,59,56,16,131
Oromia,Borena,Guchi,Hedar,3,2011,61,50,0,111
Oromia,Finfine Zuria,Walmera,Ginbot,9,2009,25,94,20,139
Oromia,Qeleme Wellega,Gawo Qebe,Ginbot,9,2010,0,39,27,66
Oromia,West Shewa,Jibat,Miyazia,8,2009,50,19,53,122
Oromia,East Shewa,Fentale,Teqemt,2,2010,36,10,42,88
Oromia,Adama Special Town,Adama Town,Hamle,11,2010,5,47,47,99
Oromia,Ilu Aba Bora,Metu Rural,Nehase,12,2010,45,1,63,109
Oromia,East Hararge,Deder Town,Hedar,3,2011,30,76,93,199
Oromia,Assela Town,Assela Town,Hedar,3,2010,57,58,2,117
Oromia,West Wellega,Genji,Megabit,7,2009,50,67,57,174
Oromia,East Wellega,Kiremu,Tir,5,2010,64,66,30,160
Oromia,West Hararge,Oda Bultum,Nehase,12,2009,51,3,33,87
Oromia,East Shewa,Bora,Miyazia,8,2009,55,3,73,131
Oromia,Guji,Adola Reda,Nehase,12,2009,43,84,63,190
Oromia,East Shewa,Matahara,Hedar,3,2010,46,59,44,149
Oromia,West Wellega,Mene Sibu,Tir,5,2011,87,56,71,214
Oromia,Bale,Ginir,Tahesas,4,2010,40,83,65,188
Oromia,Guji,Hambela Wamena,Tahesas,4,2011,4,75,94,173
Oromia,West Hararge,Gelemso Hospital,Yekatit,6,2009,35,37,23,95
Oromia,North Shewa,Aleiltu,Tahesas,4,2010,67,25,37,129
Oromia,Jimma,Shabe,Tahesas,4,2010,18,29,2,49
Oromia,Jimma,Tiro Afeta,Nehase,12,2010,42,21,81,144
Oromia,East Wellega,Haro Limu,Ginbot,9,2010,4,0,34,38
Oromia,Horo Gudru Wellega,Shambu Hospital,Nehase,12,2009,64,51,27,142
Oromia,Arsi,Tena,Nehase,12,2010,11,80,68,159
Oromia,Arsi,Deksis,Hedar,3,2010,7,97,2,106
Oromia,West Arsi,Wondo,Sene,10,2009,36,54,50,140
Oromia,Ilu Aba Bora,Darimu,Teqemt,2,2010,83,3,9,95
Oromia,West Wellega,Nejo Rural,Yekatit,6,2010,62,75,97,234
Oromia,Shashamane Town,Shashamane Town,Tir,5,2010,28,31,18,77
Oromia,Borena,El Way,Hamle,11,2009,36,85,49,170
Oromia,West Hararge,Oda Bultum,Sene,10,2011,14,96,7,117
Oromia,East Hararge,Jarso,Teqemt,2,2011,53,92,6,151
Oromia,South West Shewa,Ameya Hospital,Meskerem,1,2011,35,55,22,112
Oromia,Guji,Hambela Wamena,Miyazia,8,2010,66,90,71,227
Oromia,West Wellega,Lalo Asabi,Hedar,3,2011,53,39,17,109
Oromia,West Shewa,Ejersa Lafo,Yekatit,6,2010,50,74,94,218
Oromia,Buno Bedele,Chora,Megabit,7,2009,50,7,91,148
Oromia,West Wellega,Gimbi Adventist Hospital,Tahesas,4,2011,50,44,0,94
Oromia,West Shewa,Ejerie,Tir,5,2011,66,27,71,164
Oromia,Arsi,Robe,Sene,10,2009,29,14,92,135
Oromia,Arsi,Deksis,Tahesas,4,2011,15,43,36,94
Oromia,Jimma,Omonada,Nehase,12,2009,57,40,77,174
Oromia,West Arsi,Bishan Guracha Town,Hedar,3,2010,0,41,71,112
Oromia,East Hararge,Haromaya Town,Ginbot,9,2011,56,54,12,122
Oromia,Horo Gudru Wellega,Hababo Guduru,Hedar,3,2010,62,83,44,189
Oromia,Arsi,Digeluna Tijo,Tahesas,4,2010,33,78,17,128
Oromia,East Hararge,Deder Hospital,Yekatit,6,2010,61,11,17,89
Oromia,East Wellega,Boneya Bushe,Ginbot,9,2010,46,23,4,73
Oromia,Jimma,Limu Seka,Teqemt,2,2011,67,18,16,101
Oromia,Jimma,Seka Chekorsa,Hedar,3,2011,8,64,66,138
Oromia,Arsi,Bekoji Town,Tahesas,4,2011,71,93,89,253
Oromia,Bale,Raitu,Nehase,12,2009,54,65,2,121
Oromia,Bale,Gasera,Tir,5,2011,37,83,10,130
Oromia,Ilu Aba Bora,Metu Rural,Tir,5,2010,54,85,83,222
Oromia,Guji,Wadara,Meskerem,1,2010,63,88,40,191
Oromia,East Wellega,Leqa Dulecha,Ginbot,9,2010,96,4,72,172
Oromia,Arsi,Tena,Miyazia,8,2011,66,57,79,202
Oromia,Ilu Aba Bora,Bure,Sene,10,2011,12,39,64,115
Oromia,South West Shewa,Kersana Malima,Megabit,7,2009,92,57,32,181
Oromia,East Hararge,Garemuleta Hospital,Miyazia,8,2011,18,91,75,184
Oromia,Guji,Hambela Wamena,Yekatit,6,2010,65,33,41,139
Oromia,Borena,Wachile,Tahesas,4,2010,9,58,42,109
Oromia,West Hararge,Meiso,Ginbot,9,2011,69,13,7,89
Oromia,West Shewa,Tikur Enchini,Megabit,7,2010,62,34,73,169
Oromia,North Shewa,Dera Hospital,Meskerem,1,2010,11,26,38,75
Oromia,Jimma,Mancho,Sene,10,2010,87,16,42,145
Oromia,West Wellega,Mendi Hospital,Meskerem,1,2011,11,6,56,73
Oromia,Guji,Saba Boru,Nehase,12,2010,26,96,89,211
Oromia,West Shewa,Bako Tibe,Sene,10,2009,71,92,63,226
Oromia,West Hararge,Gelemso Hospital,Teqemt,2,2011,43,30,11,84
Oromia,West Guji,Bule Hora,Ginbot,9,2009,38,89,52,179
Oromia,West Shewa,Dendi,Miyazia,8,2010,95,78,18,191
Oromia,East Wellega,Gudeyabila,Meskerem,1,2010,99,1,85,185
Oromia,Bale,Delo Mena,Nehase,12,2009,99,68,62,229
Oromia,East Hararge,Melka Belo,Meskerem,1,2011,74,27,52,153
Oromia,Jimma,Chora Boter,Tahesas,4,2011,97,83,28,208
Oromia,East Hararge,Bisidimo Hospital,Megabit,7,2011,79,88,25,192
Oromia,South West Shewa,St.Luke Hospital,Miyazia,8,2009,3,84,63,150
Oromia,West Shewa,Codi,Teqemt,2,2010,84,30,3,117
Oromia,West Arsi,Arsi Negele Town,Sene,10,2009,35,3,31,69
Oromia,Ilu Aba Bora,Bilonopa,Nehase,12,2010,4,87,26,117
Oromia,West Shewa,Ambo,Hedar,3,2011,48,44,55,147
Oromia,Arsi,Bale Gesgara,Yekatit,6,2009,91,72,26,189
Oromia,Jimma,Sigmo,Nehase,12,2009,54,86,36,176
Oromia,Arsi,Hitosa,Hamle,11,2010,61,12,33,106
Oromia,West Arsi,Gedeb Asasa,Sene,10,2009,16,39,2,57
Oromia,West Shewa,Ambo,Megabit,7,2011,41,92,9,142
Oromia,West Shewa,Elifata,Ginbot,9,2010,22,10,38,70
Oromia,East Hararge,Haromaya Rural,Yekatit,6,2011,0,36,63,99
Oromia,Arsi,Zeway Dugda,Hamle,11,2010,19,90,93,202
Oromia,Jimma,Mancho,Ginbot,9,2011,71,79,33,183
Oromia,Finfine Zuria,Sandefa,Ginbot,9,2011,14,15,93,122
Oromia,East Shewa,Liben,Yekatit,6,2009,64,84,54,202
Oromia,West Hararge,Guba Qoricha,Nehase,12,2009,95,55,48,198
Oromia,Jimma,Nono Benja,Hamle,11,2010,29,46,87,162
Oromia,Ilu Aba Bora,Halu,Tir,5,2010,77,82,45,204
Oromia,South West Shewa,Wonchi,Meskerem,1,2011,35,34,26,95
Oromia,South West Shewa,Sodo Dac'Ha,Tahesas,4,2010,79,97,26,202
Oromia,West Shewa,Ambo,Sene,10,2010,38,72,27,137
Oromia,Ilu Aba Bora,Doreni,Tahesas,4,2011,84,86,77,247
Oromia,West Hararge,Chiro Town,Yekatit,6,2010,59,77,36,172
Oromia,Qeleme Wellega,Sedan Chanka,Tahesas,4,2011,20,92,51,163
Oromia,Guji,Hambela Wamena,Hamle,11,2009,92,17,86,195
Oromia,Arsi,Bekoji Town,Teqemt,2,2010,89,52,72,213
Oromia,Buno Bedele,Bedele Zuriya,Hedar,3,2010,93,95,23,211
Oromia,West Hararge,Chiro Zuriya,Miyazia,8,2011,68,1,3,72
Oromia,West Guji,Bule Hora Toun,Hedar,3,2010,45,13,94,152
Oromia,Borena,Moyale,Teqemt,2,2011,95,94,70,259
Oromia,Guji,Hambela Wamena,Megabit,7,2010,79,43,71,193
Oromia,East Shewa,Gimbichu,Hedar,3,2011,13,81,36,130
Oromia,Adama Special Town,Adama Town,Sene,10,2009,99,74,78,251
Oromia,Jimma,Mana,Yekatit,6,2010,37,69,28,134
Oromia,East Hararge,Girawa,Miyazia,8,2009,56,21,16,93
Oromia,Guji,Adola Hospital,Sene,10,2011,63,19,53,135
Oromia,Jimma,Sekoru,Tir,5,2011,32,92,40,164
Oromia,Qeleme Wellega,Hawa Gelan,Hedar,3,2010,31,24,86,141
Oromia,Bale,Legehida,Yekatit,6,2011,31,71,8,110
Oromia,Bale,Seweyna,Ginbot,9,2009,68,16,80,164
Oromia,West Arsi,Arsi Negele Rural,Sene,10,2011,5,49,36,90
Oromia,West Hararge,Bedesa Town,Nehase,12,2009,54,61,98,213
Oromia,South West Shewa,Dawo,Hedar,3,2010,71,66,39,176
Oromia,West Shewa,Inchini Hospital,Meskerem,1,2010,64,60,84,208
Oromia,West Wellega,Homa,Ginbot,9,2011,49,22,56,127
Oromia,West Guji,Hanbala,Sene,10,2009,70,49,96,215
Oromia,East Hararge,Girawa,Tahesas,4,2011,18,23,47,88
Oromia,Ilu Aba Bora,Becho,Hedar,3,2011,16,82,20,118
Oromia,West Shewa,Meta Waliqite,Megabit,7,2010,60,43,37,140
Oromia,Finfine Zuria,Mullo,Teqemt,2,2011,16,37,39,92
Oromia,Arsi,Digeluna Tijo,Tahesas,4,2011,17,22,91,130
Oromia,Qeleme Wellega,Dale Wabera,Sene,10,2010,74,68,65,207
Oromia,South West Shewa,Wonchi,Ginbot,9,2010,0,64,18,82
Oromia,Guji,Negele Hospital,Sene,10,2009,78,40,83,201
Oromia,East Shewa,Liben,Hedar,3,2011,21,13,46,80
Oromia,Borena,Dilo,Tahesas,4,2010,50,20,5,75
Oromia,Guji,Adola Reda,Sene,10,2011,53,96,94,243
Oromia,West Arsi,Bishan Guracha Town,Tahesas,4,2010,27,98,85,210
Oromia,Buno Bedele,Gechi,Tir,5,2010,7,11,87,105
Oromia,Guji,Saba Boru,Ginbot,9,2010,48,87,59,194
Oromia,Jimma,Gera,Sene,10,2009,99,67,91,257
Oromia,South West Shewa,Wonchi,Nehase,12,2009,58,86,79,223
Oromia,Horo Gudru Wellega,Shambu Hospital,Meskerem,1,2010,77,14,28,119
Oromia,West Arsi,Arsi Negele Rural,Megabit,7,2011,51,51,28,130
Oromia,Ilu Aba Bora,Yayu,Hedar,3,2011,83,24,13,120
Oromia,West Shewa,Elifata,Teqemt,2,2010,56,57,61,174
Oromia,South West Shewa,Ameya,Nehase,12,2010,46,10,30,86
Oromia,West Shewa,Dano,Tir,5,2011,19,99,10,128
Oromia,West Shewa,Ambo Hospital,Yekatit,6,2011,97,40,95,232
Oromia,East Hararge,Melka Belo,Ginbot,9,2011,97,91,81,269
Oromia,Buno Bedele,Bedele Hospital,Yekatit,6,2009,43,74,78,195
Oromia,North Shewa,Debre Libanos,Tir,5,2009,36,72,12,120
Oromia,Buno Bedele,Dapho Hana,Nehase,12,2010,8,76,74,158
Oromia,East Hararge,Deder,Sene,10,2009,17,60,49,126
Oromia,West Wellega,Homa,Yekatit,6,2009,38,37,78,153
Oromia,West Hararge,Gemechis,Nehase,12,2009,41,25,66,132
Oromia,West Guji,Bule Hora,Yekatit,6,2011,25,76,84,185
Oromia,Arsi,Bekoji Town,Ginbot,9,2009,11,27,42,80
Oromia,East Shewa,Matahara,Ginbot,9,2011,11,93,58,162
Oromia,Guji,Bore Hospital,Nehase,12,2010,38,80,19,137
Oromia,South West Shewa,St.Luke Hospital,Megabit,7,2009,44,5,84,133
Oromia,Bale,Arena Buluq,Hedar,3,2011,73,63,28,164
Oromia,West Arsi,Kokosa,Yekatit,6,2011,71,63,36,170
Oromia,West Wellega,Haru,Tir,5,2009,28,76,33,137
Oromia,East Wellega,Gobu Seyo,Hamle,11,2010,61,86,97,244
Oromia,Arsi,Guna,Megabit,7,2009,61,11,90,162
Oromia,West Guji,Kercha,Miyazia,8,2011,64,42,65,171
Oromia,Arsi,Merti,Sene,10,2010,36,96,64,196
Oromia,West Wellega,Nejo Town,Tahesas,4,2010,35,35,13,83
Oromia,Assela Town,Assela Town,Miyazia,8,2010,23,0,28,51
Oromia,West Shewa,Dano,Miyazia,8,2011,46,89,50,185
Oromia,West Shewa,Ambo,Tahesas,4,2010,7,9,70,86
Oromia,South West Shewa,Kersana Malima,Meskerem,1,2011,38,85,35,158
Oromia,West Arsi,Dodola Rural,Meskerem,1,2011,80,6,25,111
Oromia,Bale,Legehida,Miyazia,8,2011,39,86,38,163
Oromia,Buno Bedele,Dedesa,Megabit,7,2010,78,93,46,217
Oromia,Finfine Zuria,Sebeta Awas,Nehase,12,2009,66,78,42,186
Oromia,Borena,Dhas,Megabit,7,2011,65,1,52,118
Oromia,West Wellega,Genji,Miyazia,8,2011,29,83,60,172
Oromia,Guji,Negele Town,Hamle,11,2010,32,49,58,139
Oromia,Ilu Aba Bora,Bilonopa,Hamle,11,2010,99,96,14,209
Oromia,West Arsi,Arsi Negele Rural,Sene,10,2011,88,75,96,259
Oromia,West Shewa,Dano,Ginbot,9,2010,51,0,92,143
Oromia,West Wellega,Gimbi Adventist Hospital,Yekatit,6,2009,75,59,75,209
Oromia,West Hararge,Burka Dimtu,Nehase,12,2009,24,86,13,123
Oromia,Guji,Saba Boru,Tahesas,4,2011,10,27,80,117
Oromia,West Wellega,Gimbi Rural,Ginbot,9,2011,94,22,24,140
Oromia,North Shewa,Aleiltu,Teqemt,2,2011,51,60,36,147
Oromia,West Hararge,Chiro Zuriya,Miyazia,8,2009,6,33,50,89
Oromia,East Hararge,Girawa,Sene,10,2011,79,85,60,224
Oromia,Borena,El Way,Miyazia,8,2009,36,51,11,98
Oromia,West Hararge,Habro,Tir,5,2010,85,43,75,203
Oromia,Modjo Town,Modjo Town,Hedar,3,2011,1,56,87,144
Oromia,West Wellega,Gimbi Rural,Tir,5,2011,18,34,74,126
Oromia,West Shewa,Elifata,Hedar,3,2011,74,10,83,167
Oromia,East Wellega,Leqa Dulecha,Yekatit,6,2010,19,32,68,119
Oromia,Guji,Bore Hospital,Hamle,11,2010,16,52,66,134
Oromia,Qeleme Wellega,Dambi Dolo Hospital,Hamle,11,2009,90,33,8,131
Oromia,West Shewa,Ambo University  Hosp,Ginbot,9,2011,3,22,2,27
Oromia,West Wellega,Gimbi,Hamle,11,2010,91,74,97,262
Oromia,East Shewa,Matahara,Sene,10,2009,84,16,86,186
Oromia,West Wellega,Nejo Town,Tir,5,2011,56,95,37,188
Oromia,Arsi,Dodota,Megabit,7,2010,70,0,60,130
Oromia,West Shewa,Ginde Beret,Meskerem,1,2011,74,48,59,181
Oromia,North Shewa,Kuyu,Ginbot,9,2010,3,58,55,116
Oromia,Jimma,Sigmo,Teqemt,2,2010,71,67,95,233
